,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
129,2015,4,15,»ï¼º,1,43,0.359,0.414,7.0,20.9,0.33,0.205,19.50,0.9590000000000001,9.15,9.15,7.87,4.64,0.53,0.40700000000000003,2.34
130,2015,4,15,·Ôµ¥,1,37,0.276,0.368,16.2,24.3,0.67,0.172,29.00,0.848,5.48,6.17,5.99,1.63,0.03,0.384,1.24
131,2015,4,15,µÎ»ê,1,58,0.267,0.316,17.2,13.8,1.25,0.044000000000000004,-,0.725,6.29,4.59,7.47,0.41,0.06,0.34700000000000003,0.02
132,2015,4,15,Hero,1,40,0.222,0.26899999999999996,7.5,22.5,0.33,0.139,36.00,0.6609999999999999,4.29,4.14,3.07,6.24,0.19,0.29,-2.07
133,2015,4,15,SK,1,37,0.257,0.318,5.4,29.7,0.18,0.2,17.50,0.754,5.07,5.26,4.12,4.22,0.19,0.32799999999999996,-0.63
134,2015,4,15,LG,1,37,0.25,0.29600000000000004,13.5,13.5,1.00,0.125,-,0.726,3.24,3.12,4.41,2.61,0.03,0.337,-0.35
135,2015,4,15,ÇÑÈ­,1,38,0.25,0.31,2.6,18.4,0.14,0.055999999999999994,-,0.595,3.03,2.92,2.42,2.10,0.03,0.275,-2.47
136,2015,4,15,KT,1,57,0.209,0.24100000000000002,19.3,22.8,0.85,0.21,21.50,0.794,8.45,6.34,7.64,4.62,0.38,0.353,0.31
137,2015,4,15,NC,1,34,0.1,0.136,11.8,23.5,0.50,0.033,-,0.33899999999999997,1.36,1.36,-0.9,4.52,0.52,0.177,-5.27
138,2015,4,16,NC,1,41,0.405,0.517,2.4,22.0,0.11,0.081,-,0.8959999999999999,7.16,7.43,6.88,3.05,0.03,0.39,1.62
139,2015,4,16,SK,1,43,0.313,0.375,18.6,18.6,1.00,0.125,32.00,0.903,7.79,8.77,8.26,4.03,0.22,0.41700000000000004,2.73
