,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
1765,2019,지성준,한화,포수,45,13,186.33333333333331,0,0,142,10,2,1.0,2,15,3,16.7,0.25,109,104,7,26,6,0,2,38,11,0,0
1786,2019,김종민,한화,포수,10,5,50.66666666666666,0,0,42,5,0,1.0,0,4,0,0.0,0.2,21,20,2,4,0,0,1,7,1,1,0
1793,2019,한승택,KIA,포수,103,83,702.0,5,0,553,43,4,0.992,3,61,18,22.8,0.223,288,251,22,56,9,1,3,76,27,7,2
1803,2019,김민식,KIA,포수,49,29,260.0,3,1,204,14,3,0.986,4,22,6,21.4,0.16699999999999998,116,96,6,16,2,0,0,18,14,0,2
1817,2019,신범수,KIA,포수,31,12,126.66666666666669,1,0,101,16,0,0.992,1,10,6,37.5,0.21100000000000002,65,57,4,12,5,0,2,23,7,0,0
1821,2019,백용환,KIA,포수,20,11,104.33333333333331,2,0,84,10,1,0.9790000000000001,1,9,5,35.7,0.23399999999999999,51,47,3,11,2,0,2,19,6,0,0
1830,2019,장성우,KT,포수,125,107,911.6666666666665,5,0,626,54,4,0.993,10,60,24,28.6,0.262,413,366,25,96,7,0,7,124,41,4,6
1853,2019,안승한,KT,포수,36,11,119.0,2,0,88,5,0,0.9790000000000001,1,8,2,20.0,0.136,47,44,4,6,1,0,0,7,5,1,0
1857,2019,이준수,KT,포수,32,14,141.66666666666666,2,0,96,10,0,0.981,1,16,3,15.8,0.19399999999999998,49,36,3,7,1,0,0,8,3,3,0
1866,2019,이해창,KT,포수,25,12,103.33333333333331,1,0,68,10,1,0.987,3,6,5,45.5,0.125,43,40,0,5,0,0,0,5,0,0,0
1873,2019,유강남,LG,포수,128,115,968.3333333333335,7,0,757,61,9,0.992,5,84,25,22.9,0.27,468,418,44,113,22,0,16,183,49,1,6
1883,2019,이성우,LG,포수,53,19,210.0,3,0,143,16,0,0.981,0,23,8,25.8,0.156,74,64,2,10,3,0,0,13,6,3,0
1900,2019,정상호,LG,포수,21,6,64.0,0,0,47,4,0,1.0,2,7,0,0.0,0.083,24,24,1,2,1,0,0,3,2,0,0
1912,2019,양의지,NC,포수,91,87,723.3333333333335,2,1,590,45,10,0.997,2,37,15,28.8,0.354,459,390,61,138,26,0,20,224,68,0,6
